id,student_skills,student_fields_of_study,project_prefered_skills,project_prefered_fields_of_study,match_persentage
486,"['HTML', 'Docker', 'Data Analysis', 'Python', 'Kubernetes']",Software Engineering,"['C#', 'Java', 'Spring Boot']","['Mathematics', 'Mechanical Engineering', 'Physics']",0.0
487,"['C#', 'CSS', 'Python']",AI/ML,"['Python', 'Data Analysis', 'CSS', 'Kubernetes', 'TensorFlow', 'Java']","['Physics', 'Mechanical Engineering', 'AI/ML']",53.33
488,"['Machine Learning', 'Java']",Software Engineering,"['Python', 'AWS', 'Spring Boot']",['Electrical Engineering'],0.0
489,"['SQL', 'Java', 'C#']",Mechanical Engineering,"['Docker', 'Machine Learning', 'Java', 'TensorFlow']","['Computer Science', 'AI/ML']",17.5
490,"['Python', 'Machine Learning', 'TensorFlow']",Mathematics,"['Docker', 'AWS', 'SQL', 'CSS', 'HTML']","['Software Engineering', 'Mechanical Engineering', 'Mathematics']",30.0
491,"['Data Analysis', 'Python', 'TensorFlow', 'Java']",AI/ML,"['Java', 'AWS', 'Docker', 'Spring Boot', 'CSS']","['Electrical Engineering', 'Mechanical Engineering']",14.0
492,"['HTML', 'C#']",Software Engineering,"['Kubernetes', 'Docker', 'Machine Learning', 'Data Analysis']","['AI/ML', 'Mathematics', 'Electrical Engineering']",0.0
493,"['HTML', 'AWS', 'Python']",AI/ML,"['CSS', 'TensorFlow', 'Java', 'Machine Learning']","['Data Science', 'Computer Science', 'Mechanical Engineering']",0.0
494,"['HTML', 'TensorFlow']",Electrical Engineering,"['Python', 'React', 'TensorFlow', 'CSS', 'Kubernetes', 'AWS']",['Data Science'],11.67
495,"['React', 'HTML']",Physics,"['TensorFlow', 'Kubernetes', 'Data Analysis', 'Python', 'HTML']",['AI/ML'],14.0
496,"['Kubernetes', 'C#', 'SQL', 'HTML', 'Data Analysis']",AI/ML,"['HTML', 'Python', 'Kubernetes', 'C#', 'Machine Learning', 'CSS']","['AI/ML', 'Software Engineering', 'Electrical Engineering']",65.0
497,"['React', 'Java', 'Machine Learning', 'CSS']",Mathematics,"['Python', 'C#', 'TensorFlow', 'AWS']","['Electrical Engineering', 'Mathematics']",30.0
498,"['Data Analysis', 'Kubernetes', 'SQL', 'Spring Boot', 'C#']",Mathematics,"['React', 'SQL', 'Spring Boot', 'Docker', 'Data Analysis']","['Physics', 'Mechanical Engineering']",42.0
499,"['Machine Learning', 'AWS']",Computer Science,"['Python', 'Kubernetes', 'HTML', 'AWS', 'Docker']","['Mathematics', 'Software Engineering']",14.0
500,"['Machine Learning', 'Docker', 'TensorFlow']",AI/ML,"['Java', 'SQL', 'TensorFlow', 'CSS', 'Python']",['Electrical Engineering'],14.0
501,"['Machine Learning', 'TensorFlow', 'React']",Data Science,"['TensorFlow', 'Docker', 'CSS']","['Mechanical Engineering', 'Software Engineering', 'AI/ML']",23.33
502,"['TensorFlow', 'Spring Boot', 'Kubernetes', 'HTML', 'Python']",Computer Science,"['HTML', 'Docker', 'React']",['AI/ML'],23.33
503,"['CSS', 'TensorFlow']",Computer Science,"['React', 'SQL', 'Docker']",['Physics'],0.0
504,"['SQL', 'AWS', 'CSS', 'TensorFlow']",AI/ML,"['Data Analysis', 'Java', 'TensorFlow', 'React', 'Python', 'SQL']",['Software Engineering'],23.33
505,"['Python', 'HTML', 'Spring Boot', 'TensorFlow']",Software Engineering,"['Spring Boot', 'CSS', 'Data Analysis', 'Docker', 'Python', 'HTML']","['Mathematics', 'AI/ML']",35.0
506,"['SQL', 'Data Analysis', 'CSS', 'Machine Learning', 'Java']",Software Engineering,"['CSS', 'C#', 'Spring Boot', 'TensorFlow']",['Software Engineering'],47.5
507,"['AWS', 'Kubernetes', 'React', 'SQL']",Mechanical Engineering,"['Python', 'Data Analysis', 'React', 'Kubernetes', 'Spring Boot', 'Machine Learning']",['Data Science'],23.33
508,"['Machine Learning', 'CSS']",AI/ML,"['Spring Boot', 'Java', 'AWS', 'C#']",['Physics'],0.0
509,"['Python', 'Docker', 'HTML', 'Java', 'React']",Data Science,"['SQL', 'Python', 'C#', 'HTML']","['AI/ML', 'Software Engineering', 'Data Science']",65.0
510,"['Python', 'Docker', 'SQL', 'Kubernetes']",Computer Science,"['AWS', 'TensorFlow', 'Docker', 'SQL', 'CSS', 'Machine Learning']",['Physics'],23.33
511,"['Java', 'TensorFlow']",Software Engineering,"['Docker', 'Python', 'Java', 'Spring Boot']",['Mechanical Engineering'],17.5
512,"['Python', 'TensorFlow']",Software Engineering,"['Kubernetes', 'HTML', 'Spring Boot']",['Physics'],0.0
513,"['AWS', 'Kubernetes', 'Machine Learning', 'Data Analysis']",Electrical Engineering,"['C#', 'Machine Learning', 'CSS']","['Electrical Engineering', 'Data Science', 'Software Engineering']",53.33
514,"['SQL', 'TensorFlow', 'CSS']",AI/ML,"['AWS', 'HTML', 'Data Analysis', 'Machine Learning']",['Physics'],0.0
515,"['SQL', 'Docker']",AI/ML,"['SQL', 'Machine Learning', 'Spring Boot', 'TensorFlow', 'Docker', 'CSS']","['Physics', 'AI/ML']",53.33
516,"['HTML', 'Machine Learning', 'Kubernetes', 'AWS', 'React']",Electrical Engineering,"['Docker', 'Java', 'CSS', 'Machine Learning', 'Python', 'React']","['Physics', 'Computer Science']",23.33
517,"['CSS', 'Data Analysis']",Mathematics,"['Kubernetes', 'Java', 'HTML', 'SQL', 'AWS', 'Machine Learning']",['Mechanical Engineering'],0.0
518,"['AWS', 'C#', 'Spring Boot']",AI/ML,"['React', 'Kubernetes', 'AWS', 'Docker']",['Physics'],17.5
519,"['Docker', 'Java']",AI/ML,"['AWS', 'React', 'Java', 'Machine Learning', 'TensorFlow']","['AI/ML', 'Data Science']",44.0
520,"['SQL', 'Data Analysis', 'Java', 'React', 'Machine Learning']",Physics,"['CSS', 'Machine Learning', 'Python']","['Data Science', 'Computer Science']",23.33
521,"['Docker', 'Kubernetes', 'SQL', 'Java', 'HTML']",Mechanical Engineering,"['Docker', 'Python', 'Spring Boot', 'HTML', 'TensorFlow']","['Mechanical Engineering', 'AI/ML']",58.0
522,"['HTML', 'Python', 'Machine Learning']",Data Science,"['TensorFlow', 'Machine Learning', 'React', 'Java']","['AI/ML', 'Computer Science']",17.5
523,"['TensorFlow', 'Python']",Computer Science,"['Kubernetes', 'Java', 'AWS', 'Spring Boot', 'SQL', 'C#']","['Data Science', 'Physics']",0.0
524,"['Java', 'TensorFlow', 'CSS', 'Docker', 'React']",Software Engineering,"['C#', 'Python', 'Machine Learning']",['Software Engineering'],30.0
525,"['HTML', 'Python']",Software Engineering,"['SQL', 'Docker', 'Python']","['Software Engineering', 'AI/ML']",53.33
526,"['CSS', 'C#', 'React']",Mathematics,"['Data Analysis', 'React', 'C#', 'Machine Learning', 'Docker', 'SQL']","['Electrical Engineering', 'Mechanical Engineering', 'Software Engineering']",23.33
527,"['TensorFlow', 'SQL', 'C#']",AI/ML,"['SQL', 'Python', 'Spring Boot', 'CSS']",['Physics'],17.5
528,"['Kubernetes', 'CSS', 'React']",Mechanical Engineering,"['Spring Boot', 'Python', 'React', 'CSS', 'C#']","['AI/ML', 'Physics']",28.0
529,"['Data Analysis', 'Spring Boot', 'Docker', 'CSS']",Physics,"['AWS', 'C#', 'HTML', 'React', 'Machine Learning']","['Electrical Engineering', 'Mechanical Engineering', 'Data Science']",0.0
530,"['Data Analysis', 'Machine Learning', 'Docker']",Computer Science,"['React', 'Kubernetes', 'AWS', 'HTML', 'C#', 'Spring Boot']","['Computer Science', 'Electrical Engineering']",30.0
531,"['SQL', 'CSS', 'Java']",Mathematics,"['C#', 'Kubernetes', 'Python', 'Machine Learning']","['Physics', 'Software Engineering', 'Mathematics']",30.0
532,"['CSS', 'Kubernetes', 'Python', 'HTML', 'Spring Boot']",Mechanical Engineering,"['AWS', 'Data Analysis', 'Machine Learning', 'SQL', 'TensorFlow']",['Electrical Engineering'],0.0
533,"['Python', 'CSS', 'Java', 'React', 'Kubernetes']",Software Engineering,"['Python', 'SQL', 'AWS', 'Java', 'CSS']","['Computer Science', 'Electrical Engineering']",42.0
534,"['HTML', 'Data Analysis', 'CSS', 'TensorFlow']",Physics,"['C#', 'Data Analysis', 'HTML', 'Kubernetes', 'Python', 'CSS']","['Physics', 'Software Engineering']",65.0
535,"['HTML', 'Kubernetes', 'Spring Boot']",Mathematics,"['SQL', 'HTML', 'Docker', 'C#', 'React']",['Physics'],14.0
536,"['React', 'Machine Learning']",Data Science,"['Kubernetes', 'Machine Learning', 'TensorFlow', 'AWS', 'C#']",['Mathematics'],14.0
537,"['SQL', 'Data Analysis', 'CSS']",Mechanical Engineering,"['C#', 'Kubernetes', 'HTML', 'React', 'CSS']","['Mechanical Engineering', 'Mathematics', 'AI/ML']",44.0
538,"['Machine Learning', 'HTML', 'Kubernetes', 'C#']",Mechanical Engineering,"['Docker', 'C#', 'HTML', 'React', 'Spring Boot']","['Mathematics', 'Computer Science', 'Physics']",28.0
539,"['AWS', 'CSS']",Electrical Engineering,"['Machine Learning', 'Python', 'Spring Boot', 'CSS', 'Java']","['AI/ML', 'Data Science', 'Mechanical Engineering']",14.0
540,"['SQL', 'CSS', 'Java']",Physics,"['Spring Boot', 'Kubernetes', 'SQL', 'Java']","['Mechanical Engineering', 'Computer Science']",35.0
541,"['React', 'AWS', 'TensorFlow', 'Data Analysis', 'Docker']",Data Science,"['SQL', 'CSS', 'Data Analysis']",['Computer Science'],23.33
542,"['React', 'Spring Boot']",Data Science,"['React', 'AWS', 'HTML', 'Java', 'Docker', 'Python']","['Computer Science', 'Mechanical Engineering', 'Mathematics']",11.67
543,"['React', 'TensorFlow', 'CSS', 'Spring Boot', 'C#']",Electrical Engineering,"['AWS', 'Data Analysis', 'React', 'C#']","['AI/ML', 'Data Science', 'Mathematics']",35.0
544,"['HTML', 'Data Analysis', 'Docker', 'Machine Learning', 'React']",Mathematics,"['Data Analysis', 'AWS', 'C#']","['Mathematics', 'Software Engineering']",53.33
545,"['C#', 'CSS']",AI/ML,"['CSS', 'C#', 'Kubernetes', 'HTML']",['Mechanical Engineering'],35.0
546,"['HTML', 'Data Analysis', 'AWS', 'Spring Boot']",Electrical Engineering,"['Spring Boot', 'Data Analysis', 'CSS', 'Docker']",['Physics'],35.0
547,"['Docker', 'C#', 'React', 'AWS']",Mechanical Engineering,"['Java', 'Kubernetes', 'SQL', 'Data Analysis']","['Electrical Engineering', 'Computer Science']",0.0
548,"['TensorFlow', 'CSS', 'Docker']",Physics,"['SQL', 'Spring Boot', 'Docker', 'Java']","['Computer Science', 'Software Engineering']",17.5
549,"['HTML', 'AWS']",AI/ML,"['C#', 'CSS', 'HTML']","['AI/ML', 'Data Science']",53.33
550,"['Java', 'Machine Learning', 'Data Analysis', 'TensorFlow']",Electrical Engineering,"['C#', 'TensorFlow', 'Kubernetes', 'CSS', 'Spring Boot']","['Mechanical Engineering', 'Electrical Engineering', 'Mathematics']",44.0
551,"['AWS', 'C#', 'Spring Boot']",Electrical Engineering,"['Kubernetes', 'SQL', 'React']","['Software Engineering', 'Physics']",0.0
552,"['Kubernetes', 'Data Analysis']",Mechanical Engineering,"['Data Analysis', 'React', 'Python', 'HTML', 'C#', 'Kubernetes']","['Mechanical Engineering', 'Software Engineering', 'Data Science']",53.33
553,"['AWS', 'CSS']",Mechanical Engineering,"['Machine Learning', 'HTML', 'Kubernetes', 'C#', 'TensorFlow', 'React']","['Software Engineering', 'Mechanical Engineering', 'Mathematics']",30.0
554,"['Kubernetes', 'AWS', 'HTML']",Electrical Engineering,"['Java', 'Machine Learning', 'C#', 'CSS', 'AWS', 'SQL']","['Computer Science', 'Physics']",11.67
555,"['Python', 'Docker', 'Machine Learning', 'CSS', 'TensorFlow']",Electrical Engineering,"['Machine Learning', 'HTML', 'SQL', 'AWS']","['Computer Science', 'Mathematics']",17.5
556,"['CSS', 'Spring Boot']",Computer Science,"['Spring Boot', 'CSS', 'Machine Learning', 'Data Analysis']","['AI/ML', 'Data Science', 'Physics']",35.0
557,"['Kubernetes', 'Python']",Data Science,"['Spring Boot', 'Java', 'Docker', 'AWS']","['Software Engineering', 'AI/ML']",0.0
558,"['Python', 'AWS']",Electrical Engineering,"['SQL', 'Spring Boot', 'Data Analysis', 'Python', 'Docker', 'HTML']","['Computer Science', 'Mechanical Engineering']",11.67
559,"['SQL', 'Docker', 'AWS', 'C#']",Electrical Engineering,"['SQL', 'Java', 'AWS', 'Spring Boot', 'HTML']","['AI/ML', 'Physics', 'Electrical Engineering']",58.0
560,"['Spring Boot', 'TensorFlow', 'React', 'C#']",Electrical Engineering,"['Java', 'Machine Learning', 'HTML']","['Electrical Engineering', 'Computer Science', 'Mathematics']",30.0
561,"['Machine Learning', 'Java', 'AWS']",AI/ML,"['C#', 'Python', 'HTML', 'Java']",['Mathematics'],17.5
562,"['React', 'Spring Boot', 'Kubernetes']",Mathematics,"['SQL', 'TensorFlow', 'Kubernetes']","['Software Engineering', 'Physics']",23.33
563,"['Kubernetes', 'React', 'TensorFlow']",Physics,"['Spring Boot', 'SQL', 'C#']","['Software Engineering', 'Data Science']",0.0
564,"['Spring Boot', 'Python', 'HTML', 'Machine Learning', 'CSS']",Mathematics,"['SQL', 'Docker', 'Spring Boot', 'TensorFlow', 'Data Analysis', 'Java']","['Data Science', 'Mechanical Engineering', 'AI/ML']",11.67
565,"['SQL', 'C#']",Physics,"['C#', 'Python', 'AWS']","['Software Engineering', 'Computer Science']",23.33
566,"['CSS', 'Data Analysis', 'HTML', 'Machine Learning', 'Spring Boot']",Physics,"['CSS', 'Java', 'TensorFlow']","['Computer Science', 'Mathematics']",23.33
567,"['CSS', 'React']",Mechanical Engineering,"['AWS', 'TensorFlow', 'Java', 'SQL']",['Mechanical Engineering'],30.0
568,"['Java', 'React', 'Python', 'HTML', 'CSS']",Computer Science,"['Data Analysis', 'C#', 'Machine Learning', 'Java', 'Docker', 'Kubernetes']",['AI/ML'],11.67
569,"['Machine Learning', 'Java']",Mathematics,"['C#', 'Spring Boot', 'Python', 'SQL']","['Computer Science', 'Software Engineering', 'Electrical Engineering']",0.0
570,"['AWS', 'C#', 'Python']",AI/ML,"['Spring Boot', 'C#', 'SQL', 'Data Analysis', 'React', 'HTML']","['Mechanical Engineering', 'Data Science']",11.67
571,"['AWS', 'Python', 'Java', 'Docker', 'Kubernetes']",AI/ML,"['Kubernetes', 'Machine Learning', 'Java', 'AWS', 'TensorFlow', 'Data Analysis']","['Software Engineering', 'Data Science', 'Electrical Engineering']",35.0
572,"['Machine Learning', 'C#']",Mechanical Engineering,"['Docker', 'TensorFlow', 'Kubernetes', 'React', 'Python']","['AI/ML', 'Data Science', 'Computer Science']",0.0
573,"['AWS', 'C#', 'Python', 'Kubernetes', 'HTML']",AI/ML,"['Java', 'CSS', 'Docker']","['Computer Science', 'Mechanical Engineering']",0.0
574,"['React', 'C#']",Mathematics,"['Spring Boot', 'AWS', 'C#']","['Software Engineering', 'Computer Science']",23.33
575,"['Docker', 'Data Analysis', 'SQL', 'Kubernetes', 'Python']",Computer Science,"['HTML', 'CSS', 'Java', 'Machine Learning', 'C#']","['Mathematics', 'Electrical Engineering', 'Mechanical Engineering']",0.0
576,"['React', 'Java', 'AWS', 'TensorFlow', 'Machine Learning']",Data Science,"['Java', 'React', 'HTML', 'Docker', 'Kubernetes', 'SQL']",['AI/ML'],23.33
577,"['Data Analysis', 'HTML']",AI/ML,"['Python', 'Docker', 'Data Analysis']",['Data Science'],23.33
578,"['C#', 'AWS', 'Kubernetes', 'Python', 'React']",Physics,"['HTML', 'C#', 'AWS', 'TensorFlow', 'Spring Boot']","['Mathematics', 'Mechanical Engineering', 'Computer Science']",28.0
579,"['Data Analysis', 'Spring Boot', 'TensorFlow', 'Docker', 'HTML']",Mathematics,"['Kubernetes', 'AWS', 'Python']","['Software Engineering', 'Electrical Engineering']",0.0
580,"['Kubernetes', 'Machine Learning', 'C#', 'AWS']",Physics,"['Machine Learning', 'AWS', 'SQL', 'HTML', 'Spring Boot']",['Data Science'],28.0
581,"['HTML', 'CSS', 'Python']",Physics,"['Data Analysis', 'Kubernetes', 'Python', 'Java', 'HTML']","['Electrical Engineering', 'Mathematics', 'Physics']",58.0
582,"['React', 'SQL']",Computer Science,"['Docker', 'Data Analysis', 'React', 'HTML', 'TensorFlow']",['Mechanical Engineering'],14.0
583,"['AWS', 'C#', 'Docker', 'SQL', 'Kubernetes']",AI/ML,"['CSS', 'Data Analysis', 'Spring Boot', 'Python', 'AWS']","['Electrical Engineering', 'Physics', 'Software Engineering']",14.0
584,"['AWS', 'Python']",Software Engineering,"['Machine Learning', 'CSS', 'SQL', 'Python', 'Kubernetes']",['Computer Science'],14.0
585,"['CSS', 'Java', 'SQL']",Computer Science,"['Data Analysis', 'C#', 'AWS', 'CSS', 'SQL']","['Software Engineering', 'Electrical Engineering', 'AI/ML']",28.0
586,"['TensorFlow', 'React', 'C#', 'SQL', 'HTML']",Mathematics,"['Java', 'React', 'AWS', 'HTML', 'Machine Learning']","['Electrical Engineering', 'AI/ML']",28.0
587,"['TensorFlow', 'Python', 'React', 'Kubernetes']",Computer Science,"['Spring Boot', 'AWS', 'HTML', 'Machine Learning', 'CSS']","['Mathematics', 'Electrical Engineering', 'Mechanical Engineering']",0.0
588,"['CSS', 'SQL', 'Docker', 'Python']",Mathematics,"['Docker', 'Java', 'React', 'TensorFlow', 'AWS']","['Physics', 'Software Engineering']",14.0
589,"['AWS', 'React', 'Docker', 'TensorFlow', 'Machine Learning']",Mathematics,"['Kubernetes', 'Python', 'React', 'HTML']","['Software Engineering', 'Electrical Engineering']",17.5
590,"['React', 'Docker', 'CSS']",Mathematics,"['Kubernetes', 'AWS', 'TensorFlow', 'CSS']","['Electrical Engineering', 'AI/ML']",17.5
591,"['Machine Learning', 'Java', 'Python', 'TensorFlow', 'HTML']",Physics,"['HTML', 'Java', 'React', 'Docker']",['Mechanical Engineering'],35.0
592,"['SQL', 'Kubernetes']",AI/ML,"['SQL', 'Python', 'HTML']",['Mathematics'],23.33
593,"['React', 'AWS', 'HTML']",Physics,"['TensorFlow', 'CSS', 'Machine Learning', 'Data Analysis', 'C#', 'SQL']","['Data Science', 'AI/ML']",0.0
594,"['Docker', 'HTML', 'React', 'Spring Boot']",Mathematics,"['Kubernetes', 'Machine Learning', 'CSS', 'Data Analysis', 'Spring Boot', 'Java']",['Mechanical Engineering'],11.67
595,"['AWS', 'C#', 'Data Analysis', 'Machine Learning']",Mathematics,"['Docker', 'Python', 'Java']","['Mathematics', 'Mechanical Engineering', 'Data Science']",30.0
596,"['Docker', 'Java', 'TensorFlow']",Data Science,"['HTML', 'React', 'C#', 'Spring Boot']","['AI/ML', 'Mathematics']",0.0
597,"['Docker', 'HTML']",Software Engineering,"['CSS', 'Data Analysis', 'Kubernetes', 'Machine Learning', 'HTML']","['Electrical Engineering', 'Computer Science', 'AI/ML']",14.0
598,"['C#', 'SQL', 'Machine Learning', 'TensorFlow']",Computer Science,"['Spring Boot', 'SQL', 'C#']",['Data Science'],46.67
599,"['Machine Learning', 'C#', 'SQL', 'HTML']",Electrical Engineering,"['Spring Boot', 'Python', 'C#', 'AWS', 'Machine Learning']","['Electrical Engineering', 'Computer Science', 'Physics']",58.0
600,"['TensorFlow', 'AWS', 'CSS', 'Docker']",Data Science,"['Data Analysis', 'Java', 'React', 'C#', 'AWS', 'Machine Learning']","['Computer Science', 'AI/ML']",11.67
601,"['SQL', 'React', 'CSS']",Software Engineering,"['React', 'Docker', 'C#', 'Java', 'Data Analysis']","['Mathematics', 'Mechanical Engineering', 'Computer Science']",14.0
602,"['Spring Boot', 'Python', 'Kubernetes']",Mechanical Engineering,"['AWS', 'Machine Learning', 'Java', 'Kubernetes', 'React', 'Docker']",['Mechanical Engineering'],41.67
603,"['CSS', 'Data Analysis']",Software Engineering,"['Data Analysis', 'Docker', 'Kubernetes', 'C#']",['Mechanical Engineering'],17.5
604,"['Machine Learning', 'Docker', 'HTML', 'Spring Boot', 'TensorFlow']",Electrical Engineering,"['Python', 'TensorFlow', 'HTML', 'CSS']","['Physics', 'Electrical Engineering', 'AI/ML']",65.0
605,"['C#', 'Java']",Mathematics,"['Python', 'Kubernetes', 'CSS', 'Docker']",['Electrical Engineering'],0.0
606,"['React', 'Kubernetes', 'Machine Learning']",Software Engineering,"['SQL', 'Data Analysis', 'HTML', 'TensorFlow', 'Docker', 'Spring Boot']",['Electrical Engineering'],0.0
607,"['Machine Learning', 'AWS', 'SQL', 'C#', 'Data Analysis']",Physics,"['C#', 'AWS', 'CSS', 'Python']","['Data Science', 'Physics']",65.0
608,"['Machine Learning', 'Java']",Computer Science,"['Data Analysis', 'Docker', 'SQL']","['Electrical Engineering', 'Software Engineering']",0.0
609,"['TensorFlow', 'HTML', 'C#', 'Docker']",Mechanical Engineering,"['Docker', 'Machine Learning', 'C#', 'HTML']",['Data Science'],52.5
610,"['Spring Boot', 'HTML']",Physics,"['Machine Learning', 'TensorFlow', 'C#', 'CSS', 'Data Analysis']","['Mechanical Engineering', 'Software Engineering']",0.0
611,"['React', 'TensorFlow']",AI/ML,"['AWS', 'C#', 'Data Analysis', 'React', 'Kubernetes', 'HTML']",['Mathematics'],11.67
612,"['Kubernetes', 'TensorFlow', 'CSS']",AI/ML,"['Python', 'C#', 'HTML', 'Data Analysis', 'React', 'Machine Learning']","['AI/ML', 'Electrical Engineering', 'Computer Science']",30.0
613,"['SQL', 'AWS', 'Spring Boot', 'Python']",Data Science,"['HTML', 'Docker', 'AWS', 'Kubernetes', 'Java', 'SQL']","['Data Science', 'Mechanical Engineering']",53.33
614,"['Machine Learning', 'AWS', 'Docker', 'C#']",Computer Science,"['AWS', 'Java', 'React', 'Machine Learning', 'Kubernetes', 'HTML']","['Mathematics', 'Electrical Engineering']",23.33
615,"['Spring Boot', 'TensorFlow', 'C#', 'HTML']",Computer Science,"['Docker', 'Python', 'C#', 'Kubernetes', 'Java', 'Spring Boot']","['Electrical Engineering', 'AI/ML']",23.33
616,"['Machine Learning', 'Data Analysis', 'Spring Boot']",AI/ML,"['React', 'TensorFlow', 'CSS', 'Spring Boot', 'Python']",['Physics'],14.0
617,"['Data Analysis', 'AWS', 'Kubernetes', 'Docker']",Software Engineering,"['CSS', 'Kubernetes', 'Spring Boot', 'HTML', 'Machine Learning']","['Electrical Engineering', 'AI/ML', 'Mechanical Engineering']",14.0
618,"['Data Analysis', 'C#', 'HTML', 'React', 'CSS']",Electrical Engineering,"['C#', 'AWS', 'Java', 'TensorFlow', 'Docker']","['Physics', 'Computer Science', 'Mathematics']",14.0
619,"['Java', 'HTML', 'AWS', 'TensorFlow']",Computer Science,"['Python', 'Java', 'SQL', 'TensorFlow', 'React', 'Spring Boot']","['Mathematics', 'Electrical Engineering']",23.33
620,"['Java', 'Machine Learning', 'Spring Boot']",Mechanical Engineering,"['HTML', 'Machine Learning', 'Spring Boot', 'Data Analysis']","['Computer Science', 'Physics', 'Electrical Engineering']",35.0
621,"['Data Analysis', 'Python', 'Docker', 'Machine Learning']",Mechanical Engineering,"['TensorFlow', 'AWS', 'Kubernetes', 'SQL', 'React']","['AI/ML', 'Electrical Engineering']",0.0
622,"['Kubernetes', 'Data Analysis', 'Java']",Software Engineering,"['CSS', 'SQL', 'Spring Boot']","['Physics', 'Mechanical Engineering', 'Mathematics']",0.0
623,"['CSS', 'HTML']",Computer Science,"['React', 'Data Analysis', 'CSS', 'AWS', 'TensorFlow', 'Kubernetes']","['Physics', 'Mechanical Engineering']",11.67
624,"['React', 'CSS', 'Java', 'TensorFlow', 'Machine Learning']",Software Engineering,"['Data Analysis', 'Machine Learning', 'TensorFlow']","['Mathematics', 'Electrical Engineering']",46.67
625,"['HTML', 'Data Analysis', 'C#', 'Python']",Mechanical Engineering,"['TensorFlow', 'HTML', 'Java', 'Python', 'Spring Boot', 'Machine Learning']","['Mechanical Engineering', 'Data Science']",53.33
626,"['C#', 'Python', 'HTML', 'Kubernetes', 'Java']",AI/ML,"['Java', 'Spring Boot', 'Kubernetes', 'TensorFlow']",['Software Engineering'],35.0
627,"['Kubernetes', 'Data Analysis', 'Java', 'C#', 'React']",Mathematics,"['Spring Boot', 'C#', 'Docker', 'Machine Learning']","['AI/ML', 'Computer Science', 'Software Engineering']",17.5
628,"['TensorFlow', 'Kubernetes']",Computer Science,"['Docker', 'Data Analysis', 'Python', 'CSS']","['Data Science', 'Physics', 'AI/ML']",0.0
629,"['Java', 'Data Analysis', 'Machine Learning', 'TensorFlow', 'Docker']",Electrical Engineering,"['Data Analysis', 'C#', 'Java', 'Spring Boot']","['AI/ML', 'Computer Science', 'Mechanical Engineering']",35.0
630,"['SQL', 'CSS']",Software Engineering,"['Python', 'Docker', 'HTML']","['AI/ML', 'Mechanical Engineering']",0.0
631,"['C#', 'Docker', 'SQL', 'Data Analysis', 'Kubernetes']",Mechanical Engineering,"['Java', 'C#', 'Docker', 'CSS', 'Data Analysis', 'Spring Boot']",['AI/ML'],35.0
632,"['Data Analysis', 'AWS', 'Machine Learning', 'Docker']",Mechanical Engineering,"['TensorFlow', 'CSS', 'HTML', 'Data Analysis']",['Data Science'],17.5
633,"['CSS', 'Docker']",Data Science,"['React', 'HTML', 'TensorFlow']",['Electrical Engineering'],0.0
634,"['Spring Boot', 'Docker', 'AWS', 'SQL', 'React']",Electrical Engineering,"['React', 'TensorFlow', 'C#', 'Data Analysis', 'AWS', 'Kubernetes']",['AI/ML'],23.33
635,"['TensorFlow', 'Machine Learning', 'Kubernetes']",Data Science,"['Machine Learning', 'C#', 'HTML', 'Kubernetes']",['Mechanical Engineering'],35.0
636,"['Docker', 'TensorFlow', 'Python', 'HTML']",Electrical Engineering,"['Java', 'HTML', 'Machine Learning']",['Physics'],23.33
637,"['Java', 'Python']",Software Engineering,"['React', 'SQL', 'Docker', 'TensorFlow', 'AWS']","['Computer Science', 'AI/ML']",0.0
638,"['CSS', 'Python', 'Machine Learning']",AI/ML,"['TensorFlow', 'Java', 'Machine Learning']","['Software Engineering', 'Mathematics', 'Electrical Engineering']",23.33
639,"['Java', 'C#', 'Kubernetes']",Data Science,"['CSS', 'SQL', 'TensorFlow']","['Data Science', 'Physics']",30.0
640,"['Docker', 'Spring Boot']",Electrical Engineering,"['Machine Learning', 'Docker', 'TensorFlow', 'CSS', 'HTML']",['AI/ML'],14.0
641,"['AWS', 'React', 'TensorFlow', 'Java', 'Kubernetes']",Electrical Engineering,"['C#', 'Spring Boot', 'Data Analysis', 'Python']",['Data Science'],0.0
642,"['Data Analysis', 'CSS']",Mathematics,"['SQL', 'HTML', 'React', 'Spring Boot', 'AWS']","['Data Science', 'AI/ML']",0.0
643,"['SQL', 'CSS', 'Spring Boot', 'C#', 'Docker']",Computer Science,"['AWS', 'CSS', 'SQL', 'Data Analysis', 'React', 'Java']","['Mechanical Engineering', 'Data Science', 'Computer Science']",53.33
644,"['CSS', 'Spring Boot', 'Kubernetes', 'C#']",Data Science,"['Docker', 'Data Analysis', 'Python']",['Electrical Engineering'],0.0
645,"['Machine Learning', 'Spring Boot', 'Docker', 'CSS']",Software Engineering,"['C#', 'Data Analysis', 'HTML', 'Python', 'CSS']","['Electrical Engineering', 'Software Engineering']",44.0
646,"['Data Analysis', 'CSS']",Electrical Engineering,"['Spring Boot', 'Machine Learning', 'Kubernetes', 'React', 'TensorFlow', 'C#']","['Data Science', 'Mathematics', 'Mechanical Engineering']",0.0
647,"['Java', 'HTML', 'Docker', 'CSS', 'React']",Software Engineering,"['Python', 'Java', 'SQL', 'React', 'TensorFlow', 'Spring Boot']",['AI/ML'],23.33
648,"['CSS', 'React', 'C#']",Physics,"['Machine Learning', 'React', 'HTML', 'Data Analysis', 'C#', 'Spring Boot']",['Data Science'],23.33
